,birch0,birch1,birch2,birch3,birch4,birch5,birch6,birch7,birch8,birch9,birch10,birch11,birch12,birch13,birch14,birch15,birch16,birch17,birch18,birch19,birch20,birch21,birch22,birch23,birch24,birch25,birch26,birch27,birch28,birch29,birch30,birch31,birch32,birch33,birch34,birch35,birch36,birch37,birch38,birch39,birch40,birch41,birch42,birch43,birch44,birch45,birch46,birch47,birch48
0,0.2167276091304091,5.346964285447493,5.185422141419192,4.186941406881957,3.806156318694209,4.283505952258593,4.560560168593622,4.050016736013917,4.406697273691178,6.332472515291527,5.678284414889586,3.7608863044737286,5.57784267786514,4.58691708868135,4.603476577365497,6.144197741919041,5.263326188734762,4.107599906098864,4.3973092486606635,4.384346096172421,5.791701415314808,4.022296900269889,6.33559626844498,7.2800422095425,11.941287325206467,4.165870781254892,5.14485672144539,5.089402070189398,4.961998793847985,7.482518835062969,3.7451413052937976,11.718481501598758,6.352545984600538,6.906467657602475,7.1638153307934775,5.0767014341780365,10.131698477363408,3.256743758684713,8.482238046729465,9.838556834003372,4.12976295907706,5.344722124735986,9.235154379692093,3.99428980410272,4.459569498584648,4.159560472921074,5.960548230748606,4.290678070923293,4.578715640004525
1,5.170205249408964,0.38805910499729107,5.111797900803733,5.700621224959534,4.13025762019977,4.003367737349053,5.171316057722243,5.175784299928519,4.571192677480048,6.02800748532574,5.837501296656829,5.094810339477839,3.199791043296235,5.022660112334689,6.706515783441375,6.4909913791384,5.529095517262637,4.648360741841897,5.887831012958498,6.01832992579266,4.008835138885758,6.145143852987919,4.107921376917238,8.303127678733192,11.831968294495685,5.6514059302511885,5.3472456098736165,5.119767219575827,4.90816232389661,6.9975103821054345,6.551208568381124,11.841243855859227,5.968739349845891,5.896579660123971,6.086354899879521,5.6786317946430644,9.703735788409691,5.898892634011469,8.936993265124753,9.054955891666372,5.508750312991979,6.7262765097674135,10.763372877983786,6.793710411808342,6.446959318027434,6.964575832831109,9.271418955569693,7.5975068300749395,5.510587750302345
2,5.204204046922471,5.081530596035081,0.3871523278755518,3.142022609458582,3.976535115088266,2.949762529522468,3.3850827412858733,3.8379101769688737,3.9803269636324448,3.787390778137683,3.2489275972276737,2.823163274410871,4.4873517384983845,2.2583789334164797,3.8253658206916628,3.423109832336875,4.209150384544614,3.38591600191272,3.3454226380029732,3.8210411714050956,5.23726474347235,3.9609665464945722,4.584792298062929,6.288768763185057,11.671494981975986,4.141676106679014,2.1204854599598972,1.9817040215002495,2.9520614089389308,6.22476983116058,5.40517512382432,11.495325743456242,5.5230965859585455,4.297276844114012,7.515773656341856,5.422680527014936,9.500674703711912,4.563169681750076,8.094545470915797,9.637738712783351,5.703265444176448,4.010778298529513,9.741508367480613,5.765006636133393,4.307047610209518,5.661205713637754,8.440428901845092,6.721436636630744,2.800312466840272
3,3.9036046106821214,5.84647737586503,3.456798386767787,2.578214102512857,3.530369401211762,4.291392318296561,2.3233019756030475,4.039913936075156,4.161588216376906,4.521444649356311,3.3876103473668464,2.6862979945530414,5.253805227439519,3.790067921443378,3.824762171101024,3.7845685570160255,4.3936915983084655,3.074327687843614,2.0749078119047484,4.050504291290433,4.9613729878415205,0.42511703482486285,5.5715251084156,5.888847021586267,11.780377891534792,4.417960866746356,3.863449124855635,3.6765610007136744,4.439780687078829,7.314983704560659,4.568930516460612,10.978571773099723,5.110557662645158,5.442876501583437,7.189814268221003,4.263797680453181,10.190530242498284,3.1813157318511225,8.372651987634296,9.462315617577904,4.091066086807793,2.649661553542502,8.874117444034077,3.773034069812837,3.0330557648597094,4.30347745066439,6.631323487301078,4.228995739183376,2.9478973242115645
4,5.188968184826144,5.296555258155562,2.1097289493776716,3.4842892646609576,4.029921888363375,2.827023868587022,3.881970948531326,2.8956946397030427,4.135697715628704,4.600191178447051,3.1804113185649445,2.0270551433191244,5.130425532790965,2.9427794058996586,4.287498585891044,3.8438919420995528,4.760762537211488,3.513818153644301,4.337273850049701,4.074272042628711,4.443391275228144,4.412615153640172,4.649034765092311,6.55787436917571,11.575215842669342,3.8450225895076264,0.45193317789948145,3.063067263784708,3.090129505189622,6.623182860118826,6.343976281972699,11.465660238516033,6.780805371173907,5.171040745942057,7.256116224876327,5.584359903580422,9.6230763739426,5.310297403386806,8.337240607309575,10.237434606329723,6.12805460909477,5.178396079149146,10.640990299500997,6.659574974643451,5.189939698472868,6.254266000679502,9.069544342686418,7.320629380366542,4.218814740217942
5,4.151672604582378,5.702617495887431,3.0117939584315554,0.1947712761615153,4.2805502994928695,3.927991982289982,3.469212239795244,3.6914217753241836,3.4952346462122668,4.552854622117263,4.7913581218722445,2.7749633575780526,4.929864223486223,3.106609663489371,3.187645106543316,2.5517550256591406,4.5977032327487475,2.3089773816061427,2.6761053430801547,3.484359144431884,5.222517167142819,2.7201299140264736,5.134126420022025,5.939338507605683,11.611163625579401,4.173625260968731,3.3858067563035528,3.6114004912074473,3.661615552685567,6.873521102284874,4.2047412212351585,11.413576812392861,5.77100604207374,6.486843428329508,7.762453712198768,5.30204269364129,10.03528328147509,4.63568372880722,8.453529038231277,10.022295379672661,5.159539174024201,3.803369047725167,9.51778158501872,5.0995773680090855,2.9428021541224916,3.629733634594968,7.814407560961208,5.0014395365898485,2.798287644738244
6,3.2793812665587296,4.509876216857495,2.383364617920245,2.4464898558217585,2.2590350021049184,2.6911810489673877,1.638480987926062,3.290849258978661,2.8256774724321603,4.065203355954652,3.0777933429728623,1.9939816673350967,4.242704431325601,2.5635869253129497,3.7623067157944905,3.635794979322842,3.5032323359239017,2.106460696519129,2.2772385064499105,3.6724516842242902,4.557510991699936,2.14724576331932,4.859765112796046,6.146056346994469,11.380425729408472,3.470195393779422,2.986334380038766,2.430226278728336,3.2232851227599917,6.342021732687171,4.496957610285688,10.898745384979389,4.383945204014156,4.338507736452384,6.818864848328058,3.684050817786078,9.35585225101341,2.93408018204285,7.929692693332805,8.799431892615338,3.823861742966634,3.463080788722479,9.110779917481382,4.287150720887512,3.2885999671258994,4.571375451506889,7.2073969524756984,4.973131584816397,2.3659187925002105
7,4.707331053951952,5.165980169666581,4.322424314793993,4.4270364914621485,2.0616299130919105,3.6677946496654,3.010386981337421,3.506234153497729,3.856798949796624,3.8347703165968534,3.2192925109716293,3.56201693057848,6.139890184940536,5.169241098116544,5.809516302793505,4.843887663545542,4.148376493305714,3.389004717043738,3.833456882244131,4.632460811029073,4.149946211998924,3.461938807693626,5.189147135797759,6.537581178777684,11.358555116182119,5.6820246511640065,4.267350186680225,4.445235808923808,4.000392462919272,6.9236406395843035,6.3028041239688495,10.406063255753537,4.851346713966502,5.324451874104418,6.7417329242064925,3.038374362025245,9.807284888029267,4.797488707385767,8.714063140269896,8.450237168376137,3.431144061119612,4.404126660555288,10.055800240520048,4.959112426913067,4.643864707329851,5.798593288549321,8.174430326014262,5.477180170018149,4.818226339335051
8,5.204204046922471,5.081530596035081,0.3871523278755518,3.142022609458582,3.976535115088266,2.949762529522468,3.3850827412858733,3.8379101769688737,3.9803269636324448,3.787390778137683,3.2489275972276737,2.823163274410871,4.4873517384983845,2.2583789334164797,3.8253658206916628,3.423109832336875,4.209150384544614,3.38591600191272,3.3454226380029732,3.8210411714050956,5.23726474347235,3.9609665464945722,4.584792298062929,6.288768763185057,11.671494981975986,4.141676106679014,2.1204854599598972,1.9817040215002495,2.9520614089389308,6.22476983116058,5.40517512382432,11.495325743456242,5.5230965859585455,4.297276844114012,7.515773656341856,5.422680527014936,9.500674703711912,4.563169681750076,8.094545470915797,9.637738712783351,5.703265444176448,4.010778298529513,9.741508367480613,5.765006636133393,4.307047610209518,5.661205713637754,8.440428901845092,6.721436636630744,2.800312466840272
9,4.000598478382602,5.340914160253846,2.917682228761835,1.4770174188166556,3.9170714489114067,3.7773388670472454,3.778907530214101,3.0504118532652105,3.428399029714573,4.351460906930024,4.624326319969396,2.6293164832994753,5.284131786135857,3.6434091517216456,3.3710456411687946,3.4310345061457896,4.890580957112653,2.5265719351589953,3.033209914157904,3.2967541297653082,5.0883595749373,2.912846340035009,4.918153961652881,5.640370928176032,11.264110291194514,4.832495346754468,3.267033341490198,3.9106017790261354,3.461489057461761,6.734279714505512,3.672063208909622,11.128106561448153,5.765315112629234,6.483075076401853,7.447095445130414,5.22228727723662,10.14740774298477,4.75073603931264,8.406120488203,9.528553361670745,4.900463169056267,3.6109461277708235,9.399800931095033,4.571047457533947,3.1148197597647824,3.1766698943770812,7.206679438429522,5.020980666377361,3.327650856451274
