,birch0,birch1,birch2,birch3,birch4,birch5,birch6,birch7,birch8,birch9,birch10,birch11,birch12,birch13,birch14,birch15,birch16,birch17,birch18,birch19,birch20,birch21,birch22,birch23
0,3.3172117499142932,4.531939454967829,7.178755783601418,5.250241787301584,3.7397747614947057,4.233202387284006,4.75511765775286,2.030167750736577,3.00069815165323,3.266017630461867,3.991461906366275,3.381388911372261,2.412952699823865,8.014976641717741,4.8103418372097515,7.880496503869094,6.471061603362177,6.710378383503082,4.318105974103183,4.648845920206083,4.335654271483832,5.603121973151573,8.538778708017785,10.489046403329995
1,3.3664639851962406,5.555460971782231,6.861254682777009,4.567462146328066,3.9232446802016776,4.987456278162636,5.600385326225453,2.615678172909033,3.7954401669187616,3.5480924758274788,2.961485010373216,3.914339562200734,2.6114075635716296,8.172443403674551,5.279108333821858,7.8983980346133835,6.786175529624944,7.676282665691401,4.582448226459938,4.855158935768566,3.1567291560197637,5.249776602880446,8.007535488113342,10.339895175946394
2,2.8991333155819343,4.800103582973701,7.240497803949367,4.5380256308178435,3.9502667809916203,4.12595485914627,5.086071337762728,2.4469287196086316,2.9735045962634032,2.562622127730752,3.9607813450176805,4.167735303586304,2.1134437054895265,7.355889078240156,5.272648680537406,7.821948005788729,6.665720653653868,7.307478437410235,4.9245303102039575,4.934518294640134,4.5805371323384465,4.991893795726917,8.789354587301002,10.763704843699061
3,4.106028741676188,5.521134495477805,8.45200089860635,6.708942989406853,4.789243981630201,4.447808136643733,3.470381334339062,2.9511209206693487,3.2244802702232485,3.5487562909518577,3.6255103099112267,2.242193753648981,3.5017887477782264,8.299605204786227,3.887317471052096,8.239988361487859,6.925427465147008,7.228821605864141,4.7366672185368754,6.218676409802755,5.71695448196532,6.272959293678979,9.185386950698295,10.51663383612431
4,2.7080667617190497,4.941703845554954,7.293325511485538,4.235651483860212,3.7737289714500206,3.9651353897124535,4.532219886740439,1.8575358879604138,2.580358267498151,2.345437218514941,3.581143174654025,3.6352416615082586,1.6277095864119138,7.3390332145182,4.620918464545385,7.83258154983564,6.528503033754124,7.294871886916929,4.863886925427697,4.927364604125058,4.47262405495356,5.463285208429747,8.501379473448008,10.430735405111433
5,2.613613999001674,4.662299417648503,7.384901020786931,6.9687518012168175,5.833552837400318,5.669272509636306,5.451306116868046,4.460900854618244,4.94722743581296,5.136246597699388,5.035883747546086,4.464367039547929,4.49440183384641,9.520084747786644,6.92257580921577,6.84815739908386,7.810758923943541,5.2598505234522115,3.154521144726732,4.164689663905031,4.875069933898597,3.080222590295377,9.463791436144291,11.216885766624417
6,4.108361625673,6.060548061219035,7.858319951435071,6.6101094888062475,4.402233548585932,4.3599296031426285,4.253917155874086,2.2941500497074276,2.466097013902373,3.694714247961069,4.367028930447879,3.4214138782082353,3.252645541436296,8.168852155162032,4.791871555163803,8.49520346861307,6.6016006649695465,7.425647862839743,5.266937812304681,5.553792159124739,5.160914949251696,6.748744170200792,9.770503158751898,10.792289625619224
7,2.0310165990200324,4.136555651360139,7.074705702423536,6.490442314537024,4.367490199866177,4.505992146334163,3.9960211952908327,2.4273668939524615,3.3001296851807833,3.845018471333689,3.787090079156318,2.2639764201699113,2.77532664703018,8.716309758742184,5.03444586252269,6.963069591772999,6.696851865678815,5.408816703742469,2.5655847634724513,4.092209359240513,4.089327912755108,4.06036884298164,9.021292733675468,10.568933050963032
8,3.8853995260130776,5.546057756148249,7.360829338071898,4.714661456667905,3.6735542207014777,4.060796483070438,5.171224853515748,2.1472249607553513,2.3565897417852844,2.160115058042158,3.161622142154882,3.944753898794761,2.364238731716953,7.147177341964185,4.56673843372803,8.201604903817085,6.3561185271878955,7.654219272004394,5.145554050542236,5.214062165329238,4.059641570632094,5.794801038272119,8.538426536929837,10.532377288756479
9,5.035854341451317,5.856724782154782,7.799935371113263,5.060501142437558,2.13227711340735,4.181712442532709,4.506234961262626,4.324902616996952,5.243909994277227,5.0940893250323915,5.280906377671552,4.718098370767027,3.823058962182627,8.391916382634093,5.172245180739716,8.423014585302527,7.2304935333986355,8.102369199243052,5.891243414600414,6.215783792809337,5.057081099828805,6.857509008299596,9.389891750630985,11.492166207767122
10,3.119020392114639,4.269738715077154,7.832487972046618,5.325588116818458,4.065524723669967,4.407934267332034,3.86304774751152,2.4512385088613664,3.575033786912999,3.037229474261193,3.157181840213838,2.0675688432583064,2.1138083383062662,7.902980510457777,3.5294459063610324,7.703934407137208,6.725295125745493,7.147950286144267,4.2158819486302335,5.783164599499457,5.059394547008271,5.36088293125786,8.376912563822351,10.430033158396135
